city,country,datetime,lat,long,maxtemp,humidity,cloudiness,windspeed
Darhan,MN,1633809223,49.4867,105.9228,34.34,58,2,7.0
Daman,IN,1633809225,20.4167,72.85,80.71,82,100,4.92
Broome,US,1633809226,42.2506,-75.833,68.38,63,94,3.0
Egvekinot,RU,1633808946,66.3167,-179.1667,17.26,86,100,7.52
Gisborne,NZ,1633809228,-38.6533,178.0042,56.95,82,61,9.55
San Policarpo,PH,1633809230,12.1791,125.5072,80.58,78,100,18.7
Surami,GE,1633809232,42.0243,43.5556,43.16,86,5,8.16
Cockburn Town,TC,1633809233,21.4612,-71.1419,85.96,66,40,8.05
Havre-St-Pierre,CA,1633809235,50.2334,-63.5986,52.39,66,1,6.91
Nhamundá,BR,1633809236,-2.1861,-56.7131,95.02,36,100,3.65
Mazatlán,MX,1633809237,23.2167,-106.4167,92.91,74,22,1.99
Fayaoué,NC,1633809238,-20.65,166.5333,73.6,66,90,20.07
Singkang,MY,1633809240,2.1006,102.7994,78.69,92,89,0.18
Whitehorse,CA,1633808942,60.7161,-135.0538,43.57,56,75,11.99
Mogocha,RU,1633809243,53.7333,119.7667,28.45,86,67,4.27
Srednekolymsk,RU,1633809245,67.45,153.6833,6.84,96,43,4.25
Bourail,NC,1633809246,-21.5667,165.4833,69.6,64,0,4.23
Katsuura,JP,1633809247,35.1333,140.3,70.2,85,26,3.56
Buala,SB,1633809248,-8.145,159.5921,79.9,81,87,4.5
Liverpool,GB,1633809067,53.4106,-2.9779,60.69,88,75,1.01
Zuénoula,CI,1633809251,7.4292,-6.0431,74.97,90,5,3.8
Sechura,PE,1633809252,-5.5569,-80.8222,77.77,57,52,15.64
Prince Rupert,CA,1633809026,54.3161,-130.3201,48.29,79,90,4.61
Kopervik,NO,1633809255,59.2835,5.3067,57.34,82,75,16.11
Horsham,GB,1633809256,51.064,-0.3272,58.24,78,20,1.14
Badou,TG,1633809257,7.5833,0.6,75.25,91,100,3.02
Kawalu,ID,1633809258,-7.3817,108.2082,71.56,97,78,1.32
Bintulu,MY,1633809260,3.1667,113.0333,79.21,94,20,0.0
Nanortalik,GL,1633809261,60.1432,-45.2371,36.43,83,6,3.98
Kamaishi,JP,1633809262,39.2667,141.8833,62.83,88,94,11.1
Pulandian,CN,1633809264,39.3953,121.9669,62.73,87,100,14.65
Peniche,PT,1633809265,39.3558,-9.3811,65.62,91,23,9.4
Kaihua,CN,1633809266,23.3687,104.28,63.36,93,100,10.58
Rocha,UY,1633809266,-34.4833,-54.3333,62.13,66,2,10.92
Labuhan,ID,1633809268,-6.8844,112.2051,77.99,80,35,8.46
Bayamo,CU,1633809270,20.3792,-76.6433,84.24,71,99,6.06
Salinópolis,BR,1633809272,-0.6136,-47.3561,82.6,75,74,11.65
Zeya,RU,1633809273,53.75,127.2667,39.09,74,100,7.78
Tegul'det,RU,1633809275,57.3064,88.1667,36.88,86,100,6.85
Saint-François,FR,1633809276,46.4154,3.9054,53.04,94,90,1.14
Port-Cartier,CA,1633809018,50.0334,-66.8654,50.22,61,20,4.94
Redcar,GB,1633809278,54.6166,-1.06,60.53,84,100,5.01
Harper,LR,1633809280,4.375,-7.7169,76.91,89,30,6.49
Caucayá,CO,1633809177,-0.1934,-74.7819,85.17,67,98,3.36
Sungai Raya,ID,1633809071,0.7,108.9,79.16,87,86,6.31
Southern Pines,US,1633809283,35.174,-79.3923,72.59,94,90,4.61
Koshekhabl',RU,1633809285,44.8972,40.5119,50.36,63,100,14.83
Emba,KZ,1633809286,48.8264,58.1442,46.08,46,0,6.8
Longkou,CN,1633809287,37.6508,120.3286,65.25,86,100,16.84
Tsiroanomandidy,MG,1633809288,-18.7667,46.0333,73.72,48,97,5.12
Lompoc,US,1633809290,34.6391,-120.4579,79.7,48,1,18.41
De Aar,ZA,1633809291,-30.6497,24.0123,56.66,34,0,17.25
Bucerías,MX,1633809246,20.75,-105.3333,90.99,76,100,8.93
Nizhnyaya Tavda,RU,1633809294,57.6731,66.1725,36.16,78,83,6.26
Dolinsk,RU,1633809295,47.35,142.8,33.66,82,90,10.11
Abbeville,FR,1633809297,50.1,1.8333,55.49,80,29,3.89
Catuday,PH,1633809299,16.2923,119.8062,79.84,81,100,4.88
Karratha,AU,1633809300,-20.7377,116.8463,75.36,24,0,12.03
Zaporizhia,UA,1633809301,47.8167,35.1833,50.67,29,0,8.95
Flinders,AU,1633809304,-34.5833,150.8552,62.19,84,51,1.01
Sura,RU,1633809305,53.8879,45.7419,40.14,70,22,3.44
Verāval,IN,1633809306,20.9,70.3667,81.9,80,45,4.59
